text,occasion,clothing_items
What should I wear for a wedding?,wedding,"suit, tie, dress shirt, leather shoes"
Clothes for a night out with friends.,night out,"leather jacket, dark jeans, t-shirt, sneakers"
Outfit ideas for a business meeting.,business meeting,"blazer, dress shirt, dress pants, formal shoes"
What to wear to a beach party?,beach party,"Hawaiian shirt, shorts, flip-flops, sunglasses"
Suggestions for a formal dinner.,formal dinner,"tuxedo, bow tie, white shirt, dress shoes"
What is suitable for a job interview?,job interview,"blazer, dress shirt, trousers, formal shoes"
Casual wear for a family gathering.,family gathering,"polo shirt, khakis, loafers"
Clothes for a hiking trip.,hiking,"windbreaker, cargo pants, hiking boots, cap"
Outfit for a romantic date.,romantic date,"blazer, chinos, dress shirt, loafers"
Best clothing for a housewarming party.,housewarming party,"sweater, jeans, casual shoes"
What to wear for a sports event?,sports event,"t-shirt, joggers, sneakers, baseball cap"
Suitable outfit for a funeral.,funeral,"black suit, white shirt, black tie, dress shoes"
Dress code for a graduation ceremony.,graduation,"formal shirt, slacks, blazer, dress shoes"
What to wear to a pool party?,pool party,"swim shorts, tank top, flip-flops, sunglasses"
Clothes for a casual coffee date.,coffee date,"t-shirt, jeans, sneakers"
Ideas for an outdoor wedding.,outdoor wedding,"linen suit, white shirt, loafers"
Best clothing for a camping trip.,camping,"hoodie, cargo shorts, hiking boots, hat"
Outfit for attending a concert.,concert,"graphic t-shirt, ripped jeans, sneakers"
Dress code for a charity gala.,charity gala,"tuxedo, pocket square, dress shirt, formal shoes"
Clothing for a birthday party.,birthday party,"dress shirt, chinos, loafers"
Best attire for a winter wedding.,winter wedding,"wool suit, scarf, dress shirt, leather shoes"
Outfit for a family dinner.,family dinner,"cardigan, dress pants, loafers"
Suitable clothes for a picnic.,picnic,"polo shirt, shorts, sneakers"
Dress code for an anniversary dinner.,anniversary dinner,"blazer, dress shirt, chinos, formal shoes"
What to wear to an art gallery event?,art gallery,"blazer, turtleneck, dress pants, loafers"
Suggestions for a casual weekend.,casual weekend,"hoodie, jeans, sneakers"
Best outfit for a job promotion event.,job promotion,"formal suit, tie, dress shirt, dress shoes"
Clothes for a bachelor party.,bachelor party,"blazer, t-shirt, jeans, loafers"
What to wear for a fishing trip?,fishing trip,"waterproof jacket, cargo pants, rain boots"
Outfit ideas for a garden party.,garden party,"linen shirt, chinos, loafers"
Clothing for a holiday dinner.,holiday dinner,"sweater, dress pants, formal shoes"
Suggestions for a church service.,church service,"formal shirt, slacks, dress shoes"
Clothes for a team-building event.,team-building,"polo shirt, khakis, sneakers"
What to wear to a golf course?,golf,"golf shirt, tailored shorts, golf shoes"
Dress code for a music festival.,music festival,"graphic t-shirt, denim shorts, sneakers"
Suitable outfit for a school reunion.,school reunion,"blazer, jeans, dress shirt, loafers"
Clothing for a New Year’s Eve party.,New Year’s Eve,"sequin jacket, black trousers, dress shoes"
What to wear to a retirement party?,retirement party,"sweater vest, trousers, formal shoes"
Suggestions for a charity walk.,charity walk,"t-shirt, joggers, sneakers"
Best clothes for a summer barbecue.,summer barbecue,"linen shirt, shorts, sandals"
Clothing for a first date.,first date,"dress shirt, dark jeans, loafers"
Ideas for a rooftop party.,rooftop party,"bomber jacket, chinos, dress shoes"
Suitable outfit for a holiday brunch.,holiday brunch,"cardigan, chinos, loafers"
What to wear for a science fair?,science fair,"formal shirt, khakis, loafers"
Clothes for a yoga session.,yoga session,"yoga pants, tank top, sneakers"
Outfit for a Christmas party.,Christmas party,"sweater, dress shirt, chinos, formal shoes"
Suggestions for a beach bonfire.,beach bonfire,"hoodie, shorts, flip-flops"
Best attire for a charity fundraiser.,charity fundraiser,"blazer, tie, dress shirt, formal shoes"
