occasion,dress_code
Interview,Formal
Wedding,Formal
Presentation,Business Casual
Business Meeting,Business Casual
Work,Business Casual
Casual Outing,Casual
Party,Casual
Workout,Workout
Gym,Beachwear
Casual Outing,Sporty
Casual Outing,Beachwear
Gym,Casual
Beach,Sporty
Beach,Beachwear
Beach,Casual
Gym,Sporty
Travel,Casual
Office,Casual
Casual Outing,Smart Casual
Travel,Smart Casual
Office,Smart Casual
Dinner,Business Casual
Dinner,Formal
Meetings,Formal
Dinner,Smart Casual
Dinner Party,Formal
Meetings,Business Casual
Dinner Party,Business Casual
Office,Formal
Office,Business Casual
Dinner Party,Smart Casual
Meetings,Smart Casual
Lunch,Casual
Lunch,Smart Casual
Lunch,Business Casual
Casual Outing,Business Casual
Travel,Streetwear
Party,Streetwear
Sports Events,Casual
Casual Outing,Streetwear
Sports Events,Sporty
Travel,Sporty
Party,Sporty
Sports Events,Streetwear
Party,Smart Casual
Beach,Smart Casual
Birthday Party,Casual
Everyday Wear,Casual
Birthday Party,Smart Casual
Everyday Wear,Smart Casual
Birthday Party,Sporty
Everyday Wear,Sporty
Everyday Wear,Beachwear
