text,context
What should I wear for a wedding?,formal
What to wear for a beach party?,casual
Outfit ideas for a business meeting.,formal
Clothes for a night out with friends.,smart casual
Suggestions for a family gathering outfit.,casual
What should I wear to an interview?,business casual
What to wear for a friend's birthday party?,smart casual
Outfit for a hiking trip.,casual
What clothes are suitable for a gym session?,casual
Suggestions for an office holiday party.,smart casual
What to wear for a romantic dinner date?,smart casual
Clothes for a summer picnic.,casual
Outfit ideas for a winter wedding.,formal
What should I wear to a black-tie event?,formal
What to wear for a school reunion?,smart casual
Clothes for a weekend getaway.,casual
Suggestions for an outdoor barbecue party.,casual
What should I wear to a corporate presentation?,formal
Outfit ideas for a New Year's Eve celebration.,smart casual
What to wear for a charity gala dinner?,formal
Clothes for a casual stroll in the park.,casual
What to wear for a long-haul flight?,casual
Suggestions for a formal awards ceremony outfit.,formal
What should I wear for a tech conference?,smart casual
Outfit ideas for a backyard pool party.,casual
What to wear for a first day at work?,business casual
Suggestions for a friend's engagement party outfit.,business casual
What to wear for a Christmas dinner with family?,casual
Clothes for attending a rock concert.,casual
What should I wear to a cultural festival?,casual
Outfit for a movie night with friends.,casual
Suggestions for a corporate retreat outfit.,formal
What should I wear to a job promotion celebration dinner?,smart casual
Clothes for a rainy day walk.,casual
What to wear for a formal church service?,formal
Outfit for a sunny beach vacation.,casual
Suggestions for a lunch meeting with a client.,business casual
What to wear for a theater performance?,formal
Clothes for an outdoor yoga session.,casual
What should I wear to an art gallery opening?,smart casual
Suggestions for a bachelor party outfit.,casual
What to wear for a weekend workshop?,smart casual
Outfit ideas for a professional networking event.,business casual
Clothes for running errands on a lazy Sunday.,casual
What to wear for a formal state dinner?,formal
Suggestions for a casual lunch date outfit.,smart casual
Clothes for cheering at a football match.,casual
What should I wear to a community volunteering event?,casual
Outfit ideas for attending a friend's graduation ceremony.,business casual
What to wear for a cocktail party?,smart casual
